com.samsung.shealth.report,6212007,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1603598400000,2020-11-02 21:02:29.057,2020-11-01 20:34:44.626,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,4ddaf6cb-1310-4226-83b2-8b9041fab377,4ddaf6cb-1310-4226-83b2-8b9041fab377.compressed_content.json,
America/Toronto,1625976000000,2021-07-18 19:34:35.583,2021-07-18 19:34:34.805,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,710a6f64-579d-4c9f-b7f7-b388e28a024d,710a6f64-579d-4c9f-b7f7-b388e28a024d.compressed_content.json,
America/Toronto,1607230800000,2020-12-14 20:35:06.523,2020-12-13 20:36:48.226,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,f848b033-7c50-4e8f-958e-321ef16d60a2,f848b033-7c50-4e8f-958e-321ef16d60a2.compressed_content.json,
America/Toronto,1602993600000,2020-10-27 19:37:29.543,2020-10-25 20:04:32.943,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,199d77fd-21ed-4bce-a41b-2118d426c651,199d77fd-21ed-4bce-a41b-2118d426c651.compressed_content.json,
America/Toronto,1610859600000,2021-01-24 21:04:32.220,2021-01-24 21:04:30.950,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,6bedf0f6-1e03-4bf4-adf9-b9b926441209,6bedf0f6-1e03-4bf4-adf9-b9b926441209.compressed_content.json,
America/Toronto,1629604800000,2021-08-29 19:36:03.121,2021-08-29 19:36:01.988,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,32f925fe-9dd2-4f48-893d-ae38a5cfe066,32f925fe-9dd2-4f48-893d-ae38a5cfe066.compressed_content.json,
America/Toronto,1606626000000,2020-12-07 20:35:01.979,2020-12-06 20:38:10.240,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,98af31b2-841c-4ad0-aca9-e1224933c7b2,98af31b2-841c-4ad0-aca9-e1224933c7b2.compressed_content.json,
America/Toronto,1616299200000,2021-03-28 19:45:29.172,2021-03-28 19:45:28.282,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,546a1e05-111c-4ef4-a834-7b870ffeac46,546a1e05-111c-4ef4-a834-7b870ffeac46.compressed_content.json,
America/Toronto,1633233600000,2021-10-10 19:34:40.779,2021-10-10 19:34:38.859,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,79c6bd81-739e-40b3-bc68-757c22321f6b,79c6bd81-739e-40b3-bc68-757c22321f6b.compressed_content.json,
America/Toronto,1610254800000,2021-01-17 20:54:07.586,2021-01-17 20:54:06.287,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bcafc64c-d2ab-4b76-960e-464d984f2b2a,bcafc64c-d2ab-4b76-960e-464d984f2b2a.compressed_content.json,
America/Toronto,1619928000000,2021-05-09 19:35:01.365,2021-05-09 19:35:00.532,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,6623d54f-63df-4c5c-99d5-51a557bc2f32,6623d54f-63df-4c5c-99d5-51a557bc2f32.compressed_content.json,
