com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
dd71c4f9-1127-4896-aaec-bcd385a2c0a5.binning_data.json,2020-01-06 03:55:03.040,2020-01-05 13:06:24.632,com.sec.android.app.shealth,-2,2260,1.2331657,1674.86,83.36,VfS0qUERdZ,com.sec.android.app.shealth,dd71c4f9-1127-4896-aaec-bcd385a2c0a5,1578182400000,
58b5ebd1-c908-4cb9-bf5a-a7666ca455d5.binning_data.json,2020-01-02 04:33:26.194,2020-01-01 05:15:01.275,com.sec.android.app.shealth,-2,4311,1.3639983,3273.49,153.58,VfS0qUERdZ,com.sec.android.app.shealth,58b5ebd1-c908-4cb9-bf5a-a7666ca455d5,1577836800000,
c8d2170a-bca4-49a4-97c4-a2a7a479a598.binning_data.json,2020-01-07 05:00:00.885,2020-01-07 05:00:00.885,com.sec.android.app.shealth,0,2633,2.5555558,2032.5901,93.1,im26HRLwRA,com.sec.android.app.shealth,c8d2170a-bca4-49a4-97c4-a2a7a479a598,1578268800000,
b5b130d9-1715-412b-9010-ef9350477a89.binning_data.json,2020-01-10 02:12:29.128,2020-01-09 10:38:36.751,com.sec.android.app.shealth,-2,4732,1.3643736,3588.47,195.15999,VfS0qUERdZ,com.sec.android.app.shealth,b5b130d9-1715-412b-9010-ef9350477a89,1578528000000,
a21dd51d-b46f-42ac-9ad7-807149330e80.binning_data.json,2020-01-02 05:00:46.754,2020-01-02 05:00:46.754,com.sec.android.app.shealth,0,4311,2.0277777,3273.49,153.58,im26HRLwRA,com.sec.android.app.shealth,a21dd51d-b46f-42ac-9ad7-807149330e80,1577836800000,
dc545c2e-51a8-4bcb-b2dd-2f127df54cd1.binning_data.json,2020-01-09 05:00:00.784,2020-01-09 05:00:00.784,com.sec.android.app.shealth,0,2957,1.9089453,2257.92,108.19,im26HRLwRA,com.sec.android.app.shealth,dc545c2e-51a8-4bcb-b2dd-2f127df54cd1,1578441600000,
6bb731a7-4500-400a-a118-a5c160f24c86.binning_data.json,2020-01-05 03:57:41.721,2020-01-04 06:31:17.224,com.sec.android.app.shealth,-2,4826,1.2356477,3608.73,180.47,VfS0qUERdZ,com.sec.android.app.shealth,6bb731a7-4500-400a-a118-a5c160f24c86,1578096000000,
b6fb390d-3308-40b5-a600-56a2059ac95f.binning_data.json,2020-01-09 03:03:20.119,2020-01-08 10:38:34.087,com.sec.android.app.shealth,-2,2957,1.4023724,2257.92,108.19,VfS0qUERdZ,com.sec.android.app.shealth,b6fb390d-3308-40b5-a600-56a2059ac95f,1578441600000,
8998ab38-61f7-4ecf-9e94-bec4d4499cc9.binning_data.json,2020-01-10 05:00:01.285,2020-01-10 05:00:01.285,com.sec.android.app.shealth,0,4732,1.8611113,3588.47,195.15999,im26HRLwRA,com.sec.android.app.shealth,8998ab38-61f7-4ecf-9e94-bec4d4499cc9,1578528000000,
74170f4f-0ab2-4fe8-8142-77a752e214af.binning_data.json,2020-01-13 02:29:42.028,2020-01-12 13:08:37.737,com.sec.android.app.shealth,-2,1807,1.2993423,1356.13,74.92,VfS0qUERdZ,com.sec.android.app.shealth,74170f4f-0ab2-4fe8-8142-77a752e214af,1578787200000,
