com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4613,2828147,,0,2020-01-27 05:00:00.821,2020-01-26 05:07:47.563,60,1326124,78,3516.4673,188.492,58441fdb-ab9c-4d87-9eae-d58d846c1055.extra_data.json,im26HRLwRA,800,com.sec.android.app.shealth,2827347,23880000,58441fdb-ab9c-4d87-9eae-d58d846c1055,1579996800000,
3052,1974080,,0,2020-02-01 04:57:12.796,2020-01-31 05:00:00.614,60,180000,53,2345.5398,125.54001,f164d7e0-48a9-4f5c-a835-4139be4381af.extra_data.json,im26HRLwRA,4688,com.sec.android.app.shealth,1969392,19560000,f164d7e0-48a9-4f5c-a835-4139be4381af,1580428800000,
3342,2159401,,0,2020-01-29 04:50:27.848,2020-01-28 05:00:00.496,60,120000,58,2554.4802,137.3,1162bb91-20d0-424d-a442-7fa6e9183c3f.extra_data.json,im26HRLwRA,3200,com.sec.android.app.shealth,2156201,17460000,1162bb91-20d0-424d-a442-7fa6e9183c3f,1580169600000,
0,0,,0,2019-12-11 21:51:20.385,2019-12-11 21:51:20.385,-1,0,0,0.0,0.0,443b4bb5-8445-4214-97bd-d7b223270469.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,443b4bb5-8445-4214-97bd-d7b223270469,1574467200000,
0,0,,0,2019-12-11 21:51:20.579,2019-12-11 21:51:20.579,-1,0,0,0.0,0.0,09c4a895-dc7f-45d0-a303-0faf2e6817f9.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,09c4a895-dc7f-45d0-a303-0faf2e6817f9,1574985600000,
3952,2550365,,0,2020-02-04 05:00:00.818,2020-02-03 05:00:00.588,60,180000,70,3028.711,161.85999,88db46f7-135c-4c72-bd06-532d3b152c9e.extra_data.json,im26HRLwRA,6000,com.sec.android.app.shealth,2544365,18419999,88db46f7-135c-4c72-bd06-532d3b152c9e,1580688000000,
3850,2538584,,0,2020-02-03 05:00:00.833,2020-02-02 05:00:00.435,60,60000,70,2912.4897,160.37,4b0a9863-25c3-4b8a-ae49-a6da413d177c.extra_data.json,im26HRLwRA,2800,com.sec.android.app.shealth,2535784,32400000,4b0a9863-25c3-4b8a-ae49-a6da413d177c,1580601600000,
2120,1378539,,0,2020-02-07 04:09:05.276,2020-02-06 06:52:43.984,60,120000,36,1617.4901,87.29,6fa2878a-7c3f-44ca-aba3-40d5b86412eb.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1378539,20400000,6fa2878a-7c3f-44ca-aba3-40d5b86412eb,1580947200000,
3265,2150348,,0,2020-02-02 04:51:01.532,2020-02-01 05:00:00.772,60,60000,58,2418.5898,136.41,40d7f0ee-4401-4157-8a5e-958fc2bab9c6.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2150348,30420000,40d7f0ee-4401-4157-8a5e-958fc2bab9c6,1580515200000,
4527,2983948,,0,2020-02-09 04:55:02.413,2020-02-08 05:24:17.280,60,120000,81,3368.9998,186.84996,2aaf64e8-27a0-42ac-8332-4900906a9183.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2983948,27180000,2aaf64e8-27a0-42ac-8332-4900906a9183,1581120000000,
0,0,,0,2019-12-11 21:51:20.739,2019-12-11 21:51:20.739,-1,0,0,0.0,0.0,56311a9d-1409-4bb5-9b95-32a4d28e30c9.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,56311a9d-1409-4bb5-9b95-32a4d28e30c9,1575504000000,
0,0,,0,2019-12-11 21:51:20.190,2019-12-11 21:51:20.190,-1,0,0,0.0,0.0,a3b8443c-52dc-4d97-bbd9-5d2bb4685ed0.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,a3b8443c-52dc-4d97-bbd9-5d2bb4685ed0,1574035200000,
1661,1106552,,0,2020-02-10 05:00:00.756,2020-02-09 05:00:01.406,60,60000,30,1248.9098,70.22999,59427580-40c7-4daf-96e2-b03516729ccd.extra_data.json,im26HRLwRA,2000,com.sec.android.app.shealth,1104552,31740000,59427580-40c7-4daf-96e2-b03516729ccd,1581206400000,
3918,2565262,,0,2019-12-13 03:31:15.389,2019-12-12 05:00:01.058,60,180000,70,2980.8,140.28,aef651c3-9b35-47d3-8b43-47799da5f4f3.extra_data.json,im26HRLwRA,6800,com.sec.android.app.shealth,2558462,20940000,aef651c3-9b35-47d3-8b43-47799da5f4f3,1576108800000,
