com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
41076,4,0,74,2022-05-05 16:31:00.000,,,2022-05-05 16:32:27.489,2022-05-05 16:32:27.489,74,1.3611112,55.91,3.16,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:32:00.000,c6fe4c6e-dab6-453c-b69c-7ea13ee1e1b7,
18172,4,0,36,2022-05-05 12:34:00.000,,,2022-05-05 12:35:01.702,2022-05-05 12:34:14.209,36,1.5484904,28.140003,1.47,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:35:00.000,bfcc616b-ad6b-4f15-986e-aa4ecf661929,
49133,4,0,89,2022-05-05 16:38:00.000,,,2022-05-05 16:38:59.485,2022-05-05 16:38:49.206,89,1.3789074,67.75001,3.6999998,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:39:00.000,1080ba97-6855-4ae6-8423-b8e9fc18c583,
58117,4,0,114,2022-05-05 16:44:00.000,,,2022-05-05 16:55:00.440,2022-05-05 16:55:00.440,114,1.5277778,88.79,4.58,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:45:00.000,0b108f0d-f5b8-4c4b-b0f3-aab6ab8b190e,
32896,4,0,60,2022-05-05 19:57:00.000,,,2022-05-05 20:10:13.829,2022-05-05 19:57:35.862,60,1.3828065,45.489986,2.469999,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 19:58:00.000,fee782c6-3141-4b08-a519-6ad40d419f31,
574,4,0,1,2022-05-05 22:03:00.000,,,2022-05-05 22:05:01.882,2022-05-05 22:05:01.882,1,1.3055557,0.75,0.04,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 22:04:00.000,d0dfd2dd-362e-4c2c-8202-59b879c4076e,
58922,4,0,120,2022-05-05 22:10:00.000,,,2022-05-05 22:10:59.673,2022-05-05 22:10:56.545,120,1.6111113,94.93001,4.7999997,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 22:11:00.000,fe66bbb3-cee0-4c78-ba85-d837b0e27dd9,
22033,4,0,40,2022-05-05 13:19:00.000,,,2022-05-05 13:35:01.810,2022-05-05 13:35:01.810,40,1.3611112,29.99,1.72,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:20:00.000,211e04f8-53f6-44ff-90c9-a2fa80599f8a,
6678,4,0,12,2022-05-05 12:56:00.000,,,2022-05-05 12:58:52.269,2022-05-05 12:58:52.269,12,1.3611112,9.09,0.51,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:57:00.000,de256474-b962-4e86-a4dd-c99a2c3132ed,
56950,4,0,110,2022-05-05 22:17:00.000,,,2022-05-05 22:19:15.888,2022-05-05 22:19:15.888,113,1.5555556,88.59,4.52,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 22:18:00.000,997643ba-f754-412e-be95-59a47c1451af,
