com.samsung.health.weight,6212007,10
body_fat_mass,start_time,custom,height,weight,muscle_mass,update_time,create_time,skeletal_muscle,fat_free_mass,basal_metabolic_rate,time_offset,deviceuuid,skeletal_muscle_mass,comment,fat_free,pkg_name,body_fat,datauuid,vfa_level,total_body_water
,2022-04-30 13:03:19.000,,169.0,82.15,,2022-04-30 13:03:22.498,2022-04-30 13:03:22.498,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,e6687326-1b3e-449f-8611-136e50ca179d,,,
,2022-05-04 10:37:44.657,,169.0,82.15,,2022-05-04 10:37:44.756,2022-05-04 10:37:44.756,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,f19ac71e-a273-4b2d-908e-fac3c2485f72,,,
,2022-05-09 10:20:31.102,,169.0,82.45,,2022-05-09 10:20:31.138,2022-05-09 10:20:31.138,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.422678,5e19f6c6-3161-4339-8ceb-ecc334ca195d,,,
,2022-05-15 12:20:27.812,,169.0,82.25,,2022-05-15 12:20:27.866,2022-05-15 12:20:27.866,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.370766,e811632a-5e5c-46fe-8010-0b50ee4a9df8,,,
,2022-05-21 13:04:28.128,,169.0,82.45,,2022-05-21 13:04:28.153,2022-05-21 13:04:28.153,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.394108,c79cf212-520d-43f3-bbe9-4e004211f094,,,
,2022-05-28 12:46:13.502,,169.0,82.45,,2022-05-28 12:46:13.593,2022-05-28 12:46:13.593,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.422678,e9ca4b1a-c8f2-4cff-8787-77e65aaf91f4,,,
,2022-06-03 11:28:17.612,,169.0,82.0,,2022-06-03 11:28:17.667,2022-06-03 11:28:17.667,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.284445,86a845e2-98c0-4fa3-b8a4-b5c1a2aece24,,,
,2021-04-06 12:12:21.427,,169.0,88.25,,2021-04-06 12:12:29.046,2021-04-06 12:12:29.046,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,71c69ad0-1783-48f0-8e66-6dca31771382,,,
,2021-04-10 13:52:52.124,,169.0,88.05,,2021-04-10 13:52:57.101,2021-04-10 13:52:57.101,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,534e6aa7-5d9c-411e-b681-a4973cf4c5a0,,,
,2021-04-17 16:01:36.047,,169.0,88.05,,2021-04-17 16:01:36.077,2021-04-17 16:01:36.077,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.904821,aee0812b-de59-4ba2-ac4d-61dc12991638,,,
,2021-08-29 13:04:27.317,,169.0,93.3,,2021-08-29 13:04:27.344,2021-08-29 13:04:27.344,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.317547,26f593c5-f246-484d-abbb-450c148c6b25,,,
,2021-09-04 13:25:04.482,,169.0,92.85,,2021-09-04 13:25:04.506,2021-09-04 13:25:04.506,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.207884,4e5dd961-ac7a-4f3d-9be8-316f19a3c4d3,,,
,2021-09-08 10:41:06.007,,169.0,92.55,,2021-09-08 10:41:18.726,2021-09-08 10:41:18.726,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,d7c43006-b0cb-43ce-9665-5c3e31bf0cfd,,,
,2021-09-13 10:41:30.051,,169.0,92.35,,2021-09-13 10:41:30.068,2021-09-13 10:41:30.068,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.092386,ce2e7ada-594a-4f30-ab22-a0e267226431,,,
,2021-09-17 10:25:30.668,,169.0,91.95,,2021-09-17 10:25:51.576,2021-09-17 10:25:51.576,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,8476ef65-10a2-433e-9ca6-7b6e1f67a7dc,,,
,2021-09-20 12:21:14.516,,169.0,90.95,,2021-09-20 12:21:14.532,2021-09-20 12:21:14.532,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.700422,3ac624b9-e2e3-4586-a80b-2657b9aa5a59,,,
,2021-09-26 12:34:51.797,,169.0,91.65,,2021-09-26 12:34:51.833,2021-09-26 12:34:51.833,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.896404,14969739-4978-49a0-8312-d0bda9e63490,,,
,2021-10-02 13:07:54.804,,169.0,90.5,,2021-10-02 13:07:54.818,2021-10-02 13:07:54.818,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.59076,5454c46f-8341-43fd-9822-32c1aea7042e,,,
,2021-10-07 10:18:19.617,,169.0,91.75,,2021-10-07 10:18:19.638,2021-10-07 10:18:19.638,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.908075,4cb10b32-56fa-417f-b1fe-4e72b4c0fc57,,,
,2021-10-12 10:20:42.255,,169.0,90.9,,2021-10-12 10:20:42.267,2021-10-12 10:20:42.267,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.694586,6fd22322-16b9-4f6d-91e4-5ae2a7d4e8b8,,,
,2021-10-20 10:31:04.254,,169.0,91.25,,2021-10-20 10:31:04.269,2021-10-20 10:31:04.269,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.792578,78829877-e325-4abc-b6de-e5dd8f24f48b,,,
,2021-10-31 15:39:15.490,,169.0,89.1,,2021-10-31 15:39:15.503,2021-10-31 15:39:15.503,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.198795,112afede-a8c2-4d14-afaa-b3294b27a9d6,,,
,2021-11-06 16:14:51.269,,169.0,89.85,,2021-11-06 16:14:51.290,2021-11-06 16:14:51.290,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.400614,667f8808-f58c-46d1-a9d9-47e77fb03d39,,,
,2021-11-12 11:18:49.359,,169.0,88.85,,2021-11-12 11:18:49.379,2021-11-12 11:18:49.379,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.141047,39aaefe1-80f5-48cc-bf15-b13470aca054,,,
,2021-11-18 11:16:29.061,,169.0,88.15,,2021-11-18 11:16:29.079,2021-11-18 11:16:29.079,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.945065,92054963-9786-4afc-8c20-1efaa113d745,,,
,2021-11-20 13:48:46.872,,169.0,88.0,,2021-11-20 13:48:46.878,2021-11-20 13:48:46.878,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.898987,3ea39d45-f057-4a0e-901a-7f8ff8e96071,,,
,2021-11-27 12:06:48.637,,169.0,88.05,,2021-11-27 12:06:48.666,2021-11-27 12:06:48.666,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.904821,5ed2e3c9-2a5a-4320-acc9-9685c6abc240,,,
,2021-12-03 11:32:52.631,,169.0,87.6,,2021-12-03 11:32:52.660,2021-12-03 11:32:52.660,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.823732,db968651-9fe5-442a-8da4-f23fb987c41d,,,
,2021-12-09 14:11:32.980,,169.0,86.6,,2021-12-09 14:11:33.013,2021-12-09 14:11:33.013,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.535593,bce11bbc-086d-4987-9528-fbe5e17317fb,,,
,2021-12-15 11:44:13.872,,169.0,86.85,,2021-12-15 11:44:13.912,2021-12-15 11:44:13.912,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.621914,3659da5e-b214-41c9-b380-466f8a14d888,,,
,2021-12-22 11:24:35.988,,169.0,86.9,,2021-12-22 11:24:36.003,2021-12-22 11:24:36.003,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.62775,ab0d51a1-844f-4f55-8e3a-dd5b0fd848c8,,,
,2021-12-29 11:02:18.168,,169.0,87.6,,2021-12-29 11:02:18.183,2021-12-29 11:02:18.183,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.79516,98cb1308-dabc-4270-b6c3-133271270b83,,,
,2022-01-03 14:37:12.646,,169.0,87.05,,2022-01-03 14:37:12.658,2022-01-03 14:37:12.658,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.645256,5e11fc4c-e551-47a3-9e4b-ad29f640737d,,,
